game,upper-goal,upper-centre,lower-goal,lower-centre,club,sportsbar,club-500
Oct 9 (Calgary),246,278,348,582,706,468,866
Oct 11 (Philadelphia),157,163,206,339,408,274,501
Oct 26 (Pittsburgh),188,204,254,414,502,334,616
Oct 28 (Carolina),109,115,145,234,279,189,342
Oct 30 (New Jersey),138,144,182,288,344,232,420
Nov 9 (Edmonton),277,310,400,667,807,533,998
Nov 12 (Calgary),133,142,180,294,354,237,432
Nov 14 (N.Y. Islanders),109,115,145,234,279,189,342
Nov 16 (Chicago),254,276,390,588,714,478,-
Nov 17 (Nashville),159,168,214,352,424,284,521
Nov 19 (N.Y. Rangers),129,138,174,319,341,229,416
Dec 6 (Columbus),126,133,168,240,328,220,-
Dec 8 (Tampa Bay),149,157,199,285,393,264,482
Dec 10 (St. Louis),109,115,145,234,279,189,342
Dec 12 (Florida),129,138,174,284,341,229,416
Dec 14 (Boston),220,236,302,503,610,405,747
Dec 16 (Colorado),129,138,174,284,341,229,416
Dec 21 (Ottawa),187,202,255,425,514,343,633
Dec 23 (San Jose),189,206,259,433,523,349,644
Dec 28 (Seattle),189,206,259,433,523,349,644
Jan 3 (Nashville),182,196,246,410,496,331,610
Jan 16 (Los Angeles),126,133,168,273,328,220,400
Jan 18 (Edmonton),277,310,400,667,807,533,998
Jan 21 (Buffalo),109,115,145,234,279,189,342
Jan 25 (Washington),182,196,246,410,496,331,610
Feb 2 (Detroit),149,157,199,327,393,264,482
Feb 4 (Colorado),129,138,174,284,341,229,416
Feb 8 (Toronto),282,310,400,668,808,534,998
Mar 5 (Anaheim),109,115,145,234,279,189,342
Mar 7 (Minnesota),126,133,168,273,328,220,400
Mar 9 (Dallas),149,157,199,327,393,264,482
Mar 11 (Montreal),210,224,280,460,556,370,686
Mar 15 (Chicago),244,271,348,582,706,468,866
Mar 16 (Utah),129,138,174,284,341,-,416
Mar 18 (Winnipeg),149,157,199,327,393,264,482
Apr 2 (Seattle),109,115,145,234,279,189,342
Apr 5 (Anaheim),154,163,206,339,408,274,501
Apr 6 (Vegas),134,142,176,286,344,230,420
Apr 12 (Minnesota),149,157,199,327,393,264,482
Apr 14 (San Jose),109,115,145,234,279,189,342
Apr 16 (Vegas),134,142,176,286,344,230,420